% time	cellId	Interference
0.621929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.621929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.721929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.721929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.821929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.821929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.921929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.921929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
1.02193	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
1.02193	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
