% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.101	1	1	11	2	1	28	2292
0.102	1	1	11	3	1	28	2292
0.103	1	1	11	4	1	28	2292
0.104	1	1	11	5	1	28	2292
0.105	1	1	11	6	1	28	2292
0.106	1	1	11	7	1	28	2292
0.107	1	1	11	8	1	28	2292
0.108	1	1	11	9	1	28	2292
0.109	1	1	11	10	1	28	2292
0.11	1	1	12	1	1	28	2292
0.111	1	1	12	2	1	28	2292
0.112	1	1	12	3	1	28	2292
0.113	1	1	12	4	1	28	2292
0.114	1	1	12	5	1	28	2292
0.115	1	1	12	6	1	28	2292
0.116	1	1	12	7	1	28	2292
0.117	1	1	12	8	1	28	2292
0.118	1	1	12	9	1	28	2292
0.119	1	1	12	10	1	28	2292
0.12	1	1	13	1	1	28	2292
0.121	1	1	13	2	1	28	2292
0.122	1	1	13	3	1	28	2292
0.123	1	1	13	4	1	28	2292
0.124	1	1	13	5	1	28	2292
0.125	1	1	13	6	1	28	2292
0.126	1	1	13	7	1	28	2292
0.127	1	1	13	8	1	28	2292
0.128	1	1	13	9	1	28	2292
0.129	1	1	13	10	1	28	2292
0.13	1	1	14	1	1	28	2292
0.131	1	1	14	2	1	28	2292
0.132	1	1	14	3	1	28	2292
0.133	1	1	14	4	1	28	2292
0.134	1	1	14	5	1	28	2292
0.135	1	1	14	6	1	28	2292
0.136	1	1	14	7	1	28	2292
0.137	1	1	14	8	1	28	2292
0.138	1	1	14	9	1	28	2292
0.139	1	1	14	10	1	28	2292
0.14	1	1	15	1	1	28	2292
0.141	1	1	15	2	1	28	2292
0.142	1	1	15	3	1	28	2292
0.143	1	1	15	4	1	28	2292
0.144	1	1	15	5	1	28	2292
0.145	1	1	15	6	1	28	2292
0.146	1	1	15	7	1	28	2292
0.147	1	1	15	8	1	28	2292
0.148	1	1	15	9	1	28	2292
0.149	1	1	15	10	1	28	2292
0.15	1	1	16	1	1	28	2292
0.151	1	1	16	2	1	28	2292
0.152	1	1	16	3	1	28	2292
0.153	1	1	16	4	1	28	2292
0.154	1	1	16	5	1	28	2292
0.155	1	1	16	6	1	28	2292
0.156	1	1	16	7	1	28	2292
0.157	1	1	16	8	1	28	2292
0.158	1	1	16	9	1	28	2292
0.159	1	1	16	10	1	28	2292
0.16	1	1	17	1	1	28	2292
0.161	1	1	17	2	1	28	2292
0.162	1	1	17	3	1	28	2292
0.163	1	1	17	4	1	28	2292
0.164	1	1	17	5	1	28	2292
0.165	1	1	17	6	1	28	2292
0.166	1	1	17	7	1	28	2292
0.167	1	1	17	8	1	28	2292
0.168	1	1	17	9	1	28	2292
0.169	1	1	17	10	1	28	2292
0.17	1	1	18	1	1	28	2292
0.171	1	1	18	2	1	28	2292
0.172	1	1	18	3	1	28	2292
0.173	1	1	18	4	1	28	2292
0.174	1	1	18	5	1	28	2292
0.175	1	1	18	6	1	28	2292
0.176	1	1	18	7	1	28	2292
0.177	1	1	18	8	1	28	2292
0.178	1	1	18	9	1	28	2292
0.179	1	1	18	10	1	28	2292
0.18	1	1	19	1	1	28	2292
0.181	1	1	19	2	1	28	2292
0.182	1	1	19	3	1	28	2292
0.183	1	1	19	4	1	28	2292
0.184	1	1	19	5	1	28	2292
0.185	1	1	19	6	1	28	2292
0.186	1	1	19	7	1	28	2292
0.187	1	1	19	8	1	28	2292
0.188	1	1	19	9	1	28	2292
0.189	1	1	19	10	1	28	2292
0.19	1	1	20	1	1	28	2292
0.191	1	1	20	2	1	28	2292
0.192	1	1	20	3	1	28	2292
0.193	1	1	20	4	1	28	2292
0.194	1	1	20	5	1	28	2292
0.195	1	1	20	6	1	28	2292
0.196	1	1	20	7	1	28	2292
0.197	1	1	20	8	1	28	2292
0.198	1	1	20	9	1	28	2292
0.199	1	1	20	10	1	28	2292
0.2	1	1	21	1	1	28	2292
0.201	1	1	21	2	1	28	2292
0.202	1	1	21	3	1	28	2292
0.203	1	1	21	4	1	28	2292
0.204	1	1	21	5	1	28	2292
0.205	1	1	21	6	1	28	2292
0.206	1	1	21	7	1	28	2292
0.207	1	1	21	8	1	28	2292
0.208	1	1	21	9	1	28	2292
0.209	1	1	21	10	1	28	2292
0.21	1	1	22	1	1	28	2292
0.211	1	1	22	2	1	28	2292
0.212	1	1	22	3	1	28	2292
0.213	1	1	22	4	1	28	2292
0.214	1	1	22	5	1	28	2292
0.215	1	1	22	6	1	28	2292
0.216	1	1	22	7	1	28	2292
0.217	1	1	22	8	1	28	2292
0.218	1	1	22	9	1	28	2292
0.219	1	1	22	10	1	28	2292
0.22	1	1	23	1	1	28	2292
0.221	1	1	23	2	1	28	2292
0.222	1	1	23	3	1	28	2292
0.223	1	1	23	4	1	28	2292
0.224	1	1	23	5	1	28	2292
0.225	1	1	23	6	1	28	2292
0.226	1	1	23	7	1	28	2292
0.227	1	1	23	8	1	28	2292
0.228	1	1	23	9	1	28	2292
0.229	1	1	23	10	1	28	2292
0.23	1	1	24	1	1	28	2292
0.231	1	1	24	2	1	28	2292
0.232	1	1	24	3	1	28	2292
0.233	1	1	24	4	1	28	2292
0.234	1	1	24	5	1	28	2292
0.235	1	1	24	6	1	28	2292
0.236	1	1	24	7	1	28	2292
0.237	1	1	24	8	1	28	2292
0.238	1	1	24	9	1	28	2292
0.239	1	1	24	10	1	28	2292
0.24	1	1	25	1	1	28	2292
0.241	1	1	25	2	1	28	2292
0.242	1	1	25	3	1	28	2292
0.243	1	1	25	4	1	28	2292
0.244	1	1	25	5	1	28	2292
0.245	1	1	25	6	1	28	2292
0.246	1	1	25	7	1	28	2292
0.247	1	1	25	8	1	28	2292
0.248	1	1	25	9	1	28	2292
0.249	1	1	25	10	1	28	2292
0.25	1	1	26	1	1	28	2292
0.251	1	1	26	2	1	28	2292
0.252	1	1	26	3	1	28	2292
0.253	1	1	26	4	1	28	2292
0.254	1	1	26	5	1	28	2292
0.255	1	1	26	6	1	28	2292
0.256	1	1	26	7	1	28	2292
0.257	1	1	26	8	1	28	2292
0.258	1	1	26	9	1	28	2292
0.259	1	1	26	10	1	28	2292
0.26	1	1	27	1	1	28	2292
0.261	1	1	27	2	1	28	2292
0.262	1	1	27	3	1	28	2292
0.263	1	1	27	4	1	28	2292
0.264	1	1	27	5	1	28	2292
0.265	1	1	27	6	1	28	2292
0.266	1	1	27	7	1	28	2292
0.267	1	1	27	8	1	28	2292
0.268	1	1	27	9	1	28	2292
0.269	1	1	27	10	1	28	2292
0.27	1	1	28	1	1	28	2292
0.271	1	1	28	2	1	28	2292
0.272	1	1	28	3	1	28	2292
0.273	1	1	28	4	1	28	2292
0.274	1	1	28	5	1	28	2292
0.275	1	1	28	6	1	28	2292
0.276	1	1	28	7	1	28	2292
0.277	1	1	28	8	1	28	2292
0.278	1	1	28	9	1	28	2292
0.279	1	1	28	10	1	28	2292
0.28	1	1	29	1	1	28	2292
0.281	1	1	29	2	1	28	2292
0.282	1	1	29	3	1	28	2292
0.283	1	1	29	4	1	28	2292
0.284	1	1	29	5	1	28	2292
0.285	1	1	29	6	1	28	2292
0.286	1	1	29	7	1	28	2292
0.287	1	1	29	8	1	28	2292
0.288	1	1	29	9	1	28	2292
0.289	1	1	29	10	1	28	2292
0.29	1	1	30	1	1	28	2292
0.291	1	1	30	2	1	28	2292
0.292	1	1	30	3	1	28	2292
0.293	1	1	30	4	1	28	2292
0.294	1	1	30	5	1	28	2292
0.295	1	1	30	6	1	28	2292
0.296	1	1	30	7	1	28	2292
0.297	1	1	30	8	1	28	2292
0.298	1	1	30	9	1	28	2292
0.299	1	1	30	10	1	28	2292
0.3	1	1	31	1	1	28	2292
0.301	1	1	31	2	1	28	2292
0.302	1	1	31	3	1	28	2292
0.303	1	1	31	4	1	28	2292
0.304	1	1	31	5	1	28	2292
0.305	1	1	31	6	1	28	2292
0.306	1	1	31	7	1	28	2292
0.307	1	1	31	8	1	28	2292
0.308	1	1	31	9	1	28	2292
0.309	1	1	31	10	1	28	2292
0.31	1	1	32	1	1	28	2292
0.311	1	1	32	2	1	28	2292
0.312	1	1	32	3	1	28	2292
0.313	1	1	32	4	1	28	2292
0.314	1	1	32	5	1	28	2292
0.315	1	1	32	6	1	28	2292
0.316	1	1	32	7	1	28	2292
0.317	1	1	32	8	1	28	2292
0.318	1	1	32	9	1	28	2292
0.319	1	1	32	10	1	28	2292
0.32	1	1	33	1	1	28	2292
0.321	1	1	33	2	1	28	2292
0.322	1	1	33	3	1	28	2292
0.323	1	1	33	4	1	28	2292
0.324	1	1	33	5	1	28	2292
0.325	1	1	33	6	1	28	2292
0.326	1	1	33	7	1	28	2292
0.327	1	1	33	8	1	28	2292
0.328	1	1	33	9	1	28	2292
0.329	1	1	33	10	1	28	2292
0.33	1	1	34	1	1	28	2292
0.331	1	1	34	2	1	28	2292
0.332	1	1	34	3	1	28	2292
0.333	1	1	34	4	1	28	2292
0.334	1	1	34	5	1	28	2292
0.335	1	1	34	6	1	28	2292
0.336	1	1	34	7	1	28	2292
0.337	1	1	34	8	1	28	2292
0.338	1	1	34	9	1	28	2292
0.339	1	1	34	10	1	28	2292
0.34	1	1	35	1	1	28	2292
0.341	1	1	35	2	1	28	2292
0.342	1	1	35	3	1	28	2292
0.343	1	1	35	4	1	28	2292
0.344	1	1	35	5	1	28	2292
0.345	1	1	35	6	1	28	2292
0.346	1	1	35	7	1	28	2292
0.347	1	1	35	8	1	28	2292
0.348	1	1	35	9	1	28	2292
0.349	1	1	35	10	1	28	2292
0.35	1	1	36	1	1	28	2292
0.351	1	1	36	2	1	28	2292
0.352	1	1	36	3	1	28	2292
0.353	1	1	36	4	1	28	2292
0.354	1	1	36	5	1	28	2292
0.355	1	1	36	6	1	28	2292
0.356	1	1	36	7	1	28	2292
0.357	1	1	36	8	1	28	2292
0.358	1	1	36	9	1	28	2292
0.359	1	1	36	10	1	28	2292
0.36	1	1	37	1	1	28	2292
0.361	1	1	37	2	1	28	2292
0.362	1	1	37	3	1	28	2292
0.363	1	1	37	4	1	28	2292
0.364	1	1	37	5	1	28	2292
0.365	1	1	37	6	1	28	2292
0.366	1	1	37	7	1	28	2292
0.367	1	1	37	8	1	28	2292
0.368	1	1	37	9	1	28	2292
0.369	1	1	37	10	1	28	2292
0.37	1	1	38	1	1	28	2292
0.371	1	1	38	2	1	28	2292
0.372	1	1	38	3	1	28	2292
0.373	1	1	38	4	1	28	2292
0.374	1	1	38	5	1	28	2292
0.375	1	1	38	6	1	28	2292
0.376	1	1	38	7	1	28	2292
0.377	1	1	38	8	1	28	2292
0.378	1	1	38	9	1	28	2292
0.379	1	1	38	10	1	28	2292
0.38	1	1	39	1	1	28	2292
0.381	1	1	39	2	1	28	2292
0.382	1	1	39	3	1	28	2292
0.383	1	1	39	4	1	28	2292
0.384	1	1	39	5	1	28	2292
0.385	1	1	39	6	1	28	2292
0.386	1	1	39	7	1	28	2292
0.387	1	1	39	8	1	28	2292
0.388	1	1	39	9	1	28	2292
0.389	1	1	39	10	1	28	2292
0.39	1	1	40	1	1	28	2292
0.391	1	1	40	2	1	28	2292
0.392	1	1	40	3	1	28	2292
0.393	1	1	40	4	1	28	2292
0.394	1	1	40	5	1	28	2292
0.395	1	1	40	6	1	28	2292
0.396	1	1	40	7	1	28	2292
0.397	1	1	40	8	1	28	2292
0.398	1	1	40	9	1	28	2292
0.399	1	1	40	10	1	28	2292
0.4	1	1	41	1	1	28	2292
0.401	1	1	41	2	1	28	2292
0.402	1	1	41	3	1	28	2292
0.403	1	1	41	4	1	28	2292
0.404	1	1	41	5	1	28	2292
0.405	1	1	41	6	1	28	2292
0.406	1	1	41	7	1	28	2292
0.407	1	1	41	8	1	28	2292
0.408	1	1	41	9	1	28	2292
0.409	1	1	41	10	1	28	2292
0.41	1	1	42	1	1	28	2292
0.411	1	1	42	2	1	28	2292
0.412	1	1	42	3	1	28	2292
0.413	1	1	42	4	1	28	2292
0.414	1	1	42	5	1	28	2292
0.415	1	1	42	6	1	28	2292
0.416	1	1	42	7	1	28	2292
0.417	1	1	42	8	1	28	2292
0.418	1	1	42	9	1	28	2292
0.419	1	1	42	10	1	28	2292
0.42	1	1	43	1	1	28	2292
0.421	1	1	43	2	1	28	2292
0.422	1	1	43	3	1	28	2292
0.423	1	1	43	4	1	28	2292
0.424	1	1	43	5	1	28	2292
0.425	1	1	43	6	1	28	2292
0.426	1	1	43	7	1	28	2292
0.427	1	1	43	8	1	28	2292
0.428	1	1	43	9	1	28	2292
0.429	1	1	43	10	1	28	2292
0.43	1	1	44	1	1	28	2292
0.431	1	1	44	2	1	28	2292
0.432	1	1	44	3	1	28	2292
0.433	1	1	44	4	1	28	2292
0.434	1	1	44	5	1	28	2292
0.435	1	1	44	6	1	28	2292
0.436	1	1	44	7	1	28	2292
0.437	1	1	44	8	1	28	2292
0.438	1	1	44	9	1	28	2292
0.439	1	1	44	10	1	28	2292
0.44	1	1	45	1	1	28	2292
0.441	1	1	45	2	1	28	2292
0.442	1	1	45	3	1	28	2292
0.443	1	1	45	4	1	28	2292
0.444	1	1	45	5	1	28	2292
0.445	1	1	45	6	1	28	2292
0.446	1	1	45	7	1	28	2292
0.447	1	1	45	8	1	28	2292
0.448	1	1	45	9	1	28	2292
0.449	1	1	45	10	1	28	2292
0.45	1	1	46	1	1	28	2292
0.451	1	1	46	2	1	28	2292
0.452	1	1	46	3	1	28	2292
0.453	1	1	46	4	1	28	2292
0.454	1	1	46	5	1	28	2292
0.455	1	1	46	6	1	28	2292
0.456	1	1	46	7	1	28	2292
0.457	1	1	46	8	1	28	2292
0.458	1	1	46	9	1	28	2292
0.459	1	1	46	10	1	28	2292
0.46	1	1	47	1	1	28	2292
0.461	1	1	47	2	1	28	2292
0.462	1	1	47	3	1	28	2292
0.463	1	1	47	4	1	28	2292
0.464	1	1	47	5	1	28	2292
0.465	1	1	47	6	1	28	2292
0.466	1	1	47	7	1	28	2292
0.467	1	1	47	8	1	28	2292
0.468	1	1	47	9	1	28	2292
0.469	1	1	47	10	1	28	2292
0.47	1	1	48	1	1	28	2292
0.471	1	1	48	2	1	28	2292
0.472	1	1	48	3	1	28	2292
0.473	1	1	48	4	1	28	2292
0.474	1	1	48	5	1	28	2292
0.475	1	1	48	6	1	28	2292
0.476	1	1	48	7	1	28	2292
0.477	1	1	48	8	1	28	2292
0.478	1	1	48	9	1	28	2292
0.479	1	1	48	10	1	28	2292
0.48	1	1	49	1	1	28	2292
0.481	1	1	49	2	1	28	2292
0.482	1	1	49	3	1	28	2292
0.483	1	1	49	4	1	28	2292
0.484	1	1	49	5	1	28	2292
0.485	1	1	49	6	1	28	2292
0.486	1	1	49	7	1	28	2292
0.487	1	1	49	8	1	28	2292
0.488	1	1	49	9	1	28	2292
0.489	1	1	49	10	1	28	2292
0.49	1	1	50	1	1	28	2292
0.491	1	1	50	2	1	28	2292
0.492	1	1	50	3	1	28	2292
0.493	1	1	50	4	1	28	2292
0.494	1	1	50	5	1	28	2292
0.495	1	1	50	6	1	28	2292
0.496	1	1	50	7	1	28	2292
0.497	1	1	50	8	1	28	2292
0.498	1	1	50	9	1	28	2292
0.499	1	1	50	10	1	28	2292
0.5	1	1	51	1	1	28	2292
0.501	1	1	51	2	1	28	2292
0.502	1	1	51	3	1	28	2292
0.503	1	1	51	4	1	28	2292
0.504	1	1	51	5	1	28	2292
0.505	1	1	51	6	1	28	2292
0.506	1	1	51	7	1	28	2292
0.507	1	1	51	8	1	28	2292
0.508	1	1	51	9	1	28	2292
0.509	1	1	51	10	1	28	2292
0.51	1	1	52	1	1	28	2292
0.511	1	1	52	2	1	28	2292
0.512	1	1	52	3	1	28	2292
0.513	1	1	52	4	1	28	2292
0.514	1	1	52	5	1	28	2292
0.515	1	1	52	6	1	28	2292
0.516	1	1	52	7	1	28	2292
0.517	1	1	52	8	1	28	2292
0.518	1	1	52	9	1	28	2292
0.519	1	1	52	10	1	28	2292
0.52	1	1	53	1	1	28	2292
0.521	1	1	53	2	1	28	2292
0.522	1	1	53	3	1	28	2292
0.523	1	1	53	4	1	28	2292
0.524	1	1	53	5	1	28	2292
0.525	1	1	53	6	1	28	2292
0.526	1	1	53	7	1	28	2292
0.527	1	1	53	8	1	28	2292
0.528	1	1	53	9	1	28	2292
0.529	1	1	53	10	1	28	2292
0.53	1	1	54	1	1	28	2292
0.531	1	1	54	2	1	28	2292
0.532	1	1	54	3	1	28	2292
0.533	1	1	54	4	1	28	2292
0.534	1	1	54	5	1	28	2292
0.535	1	1	54	6	1	28	2292
0.536	1	1	54	7	1	28	2292
0.537	1	1	54	8	1	28	2292
0.538	1	1	54	9	1	28	2292
0.539	1	1	54	10	1	28	2292
0.54	1	1	55	1	1	28	2292
0.541	1	1	55	2	1	28	2292
0.542	1	1	55	3	1	28	2292
0.543	1	1	55	4	1	28	2292
0.544	1	1	55	5	1	28	2292
0.545	1	1	55	6	1	28	2292
0.546	1	1	55	7	1	28	2292
0.547	1	1	55	8	1	28	2292
0.548	1	1	55	9	1	28	2292
0.549	1	1	55	10	1	28	2292
0.55	1	1	56	1	1	28	2292
0.551	1	1	56	2	1	28	2292
0.552	1	1	56	3	1	28	2292
0.553	1	1	56	4	1	28	2292
0.554	1	1	56	5	1	28	2292
0.555	1	1	56	6	1	28	2292
0.556	1	1	56	7	1	28	2292
0.557	1	1	56	8	1	28	2292
0.558	1	1	56	9	1	28	2292
0.559	1	1	56	10	1	28	2292
0.56	1	1	57	1	1	28	2292
0.561	1	1	57	2	1	28	2292
0.562	1	1	57	3	1	28	2292
0.563	1	1	57	4	1	28	2292
0.564	1	1	57	5	1	28	2292
0.565	1	1	57	6	1	28	2292
0.566	1	1	57	7	1	28	2292
0.567	1	1	57	8	1	28	2292
0.568	1	1	57	9	1	28	2292
0.569	1	1	57	10	1	28	2292
0.57	1	1	58	1	1	28	2292
0.571	1	1	58	2	1	28	2292
0.572	1	1	58	3	1	28	2292
0.573	1	1	58	4	1	28	2292
0.574	1	1	58	5	1	28	2292
0.575	1	1	58	6	1	28	2292
0.576	1	1	58	7	1	28	2292
0.577	1	1	58	8	1	28	2292
0.578	1	1	58	9	1	28	2292
0.579	1	1	58	10	1	28	2292
0.58	1	1	59	1	1	28	2292
0.581	1	1	59	2	1	28	2292
0.582	1	1	59	3	1	28	2292
0.583	1	1	59	4	1	28	2292
0.584	1	1	59	5	1	28	2292
0.585	1	1	59	6	1	28	2292
0.586	1	1	59	7	1	28	2292
0.587	1	1	59	8	1	28	2292
0.588	1	1	59	9	1	28	2292
0.589	1	1	59	10	1	28	2292
0.59	1	1	60	1	1	28	2292
0.591	1	1	60	2	1	28	2292
0.592	1	1	60	3	1	28	2292
0.593	1	1	60	4	1	28	2292
0.594	1	1	60	5	1	28	2292
0.595	1	1	60	6	1	28	2292
0.596	1	1	60	7	1	28	2292
0.597	1	1	60	8	1	28	2292
0.598	1	1	60	9	1	28	2292
0.599	1	1	60	10	1	28	2292
0.6	1	1	61	1	1	28	2292
0.601	1	1	61	2	1	28	2292
0.602	1	1	61	3	1	28	2292
0.603	1	1	61	4	1	28	2292
0.604	1	1	61	5	1	28	2292
0.605	1	1	61	6	1	28	2292
0.606	1	1	61	7	1	28	2292
0.607	1	1	61	8	1	28	2292
0.608	1	1	61	9	1	28	2292
0.609	1	1	61	10	1	28	2292
0.61	1	1	62	1	1	28	2292
0.611	1	1	62	2	1	28	2292
0.612	1	1	62	3	1	28	2292
0.613	1	1	62	4	1	28	2292
0.614	1	1	62	5	1	28	2292
0.615	1	1	62	6	1	28	2292
0.616	1	1	62	7	1	28	2292
0.617	1	1	62	8	1	28	2292
0.618	1	1	62	9	1	28	2292
0.619	1	1	62	10	1	28	2292
0.62	1	1	63	1	1	28	2292
0.621	1	1	63	2	1	28	2292
0.622	1	1	63	3	1	28	2292
0.623	1	1	63	4	1	28	2292
0.624	1	1	63	5	1	28	2292
0.625	1	1	63	6	1	28	2292
0.626	1	1	63	7	1	28	2292
0.627	1	1	63	8	1	28	2292
0.628	1	1	63	9	1	28	2292
0.629	1	1	63	10	1	28	2292
0.63	1	1	64	1	1	28	2292
0.631	1	1	64	2	1	28	2292
0.632	1	1	64	3	1	28	2292
0.633	1	1	64	4	1	28	2292
0.634	1	1	64	5	1	28	2292
0.635	1	1	64	6	1	28	2292
0.636	1	1	64	7	1	28	2292
0.637	1	1	64	8	1	28	2292
0.638	1	1	64	9	1	28	2292
0.639	1	1	64	10	1	28	2292
0.64	1	1	65	1	1	28	2292
0.641	1	1	65	2	1	28	2292
0.642	1	1	65	3	1	28	2292
0.643	1	1	65	4	1	28	2292
0.644	1	1	65	5	1	28	2292
0.645	1	1	65	6	1	28	2292
0.646	1	1	65	7	1	28	2292
0.647	1	1	65	8	1	28	2292
0.648	1	1	65	9	1	28	2292
0.649	1	1	65	10	1	28	2292
0.65	1	1	66	1	1	28	2292
0.651	1	1	66	2	1	28	2292
0.652	1	1	66	3	1	28	2292
0.653	1	1	66	4	1	28	2292
0.654	1	1	66	5	1	28	2292
0.655	1	1	66	6	1	28	2292
0.656	1	1	66	7	1	28	2292
0.657	1	1	66	8	1	28	2292
0.658	1	1	66	9	1	28	2292
0.659	1	1	66	10	1	28	2292
0.66	1	1	67	1	1	28	2292
0.661	1	1	67	2	1	28	2292
0.662	1	1	67	3	1	28	2292
0.663	1	1	67	4	1	28	2292
0.664	1	1	67	5	1	28	2292
0.665	1	1	67	6	1	28	2292
0.666	1	1	67	7	1	28	2292
0.667	1	1	67	8	1	28	2292
0.668	1	1	67	9	1	28	2292
0.669	1	1	67	10	1	28	2292
0.67	1	1	68	1	1	28	2292
0.671	1	1	68	2	1	28	2292
0.672	1	1	68	3	1	28	2292
0.673	1	1	68	4	1	28	2292
0.674	1	1	68	5	1	28	2292
0.675	1	1	68	6	1	28	2292
0.676	1	1	68	7	1	28	2292
0.677	1	1	68	8	1	28	2292
0.678	1	1	68	9	1	28	2292
0.679	1	1	68	10	1	28	2292
0.68	1	1	69	1	1	28	2292
0.681	1	1	69	2	1	28	2292
0.682	1	1	69	3	1	28	2292
0.683	1	1	69	4	1	28	2292
0.684	1	1	69	5	1	28	2292
0.685	1	1	69	6	1	28	2292
0.686	1	1	69	7	1	28	2292
0.687	1	1	69	8	1	28	2292
0.688	1	1	69	9	1	28	2292
0.689	1	1	69	10	1	28	2292
0.69	1	1	70	1	1	28	2292
0.691	1	1	70	2	1	28	2292
0.692	1	1	70	3	1	28	2292
0.693	1	1	70	4	1	28	2292
0.694	1	1	70	5	1	28	2292
0.695	1	1	70	6	1	28	2292
0.696	1	1	70	7	1	28	2292
0.697	1	1	70	8	1	28	2292
0.698	1	1	70	9	1	28	2292
0.699	1	1	70	10	1	28	2292
0.7	1	1	71	1	1	28	2292
0.701	1	1	71	2	1	28	2292
0.702	1	1	71	3	1	28	2292
0.703	1	1	71	4	1	28	2292
0.704	1	1	71	5	1	28	2292
0.705	1	1	71	6	1	28	2292
0.706	1	1	71	7	1	28	2292
0.707	1	1	71	8	1	28	2292
0.708	1	1	71	9	1	28	2292
0.709	1	1	71	10	1	28	2292
0.71	1	1	72	1	1	28	2292
0.711	1	1	72	2	1	28	2292
0.712	1	1	72	3	1	28	2292
0.713	1	1	72	4	1	28	2292
0.714	1	1	72	5	1	28	2292
0.715	1	1	72	6	1	28	2292
0.716	1	1	72	7	1	28	2292
0.717	1	1	72	8	1	28	2292
0.718	1	1	72	9	1	28	2292
0.719	1	1	72	10	1	28	2292
0.72	1	1	73	1	1	28	2292
0.721	1	1	73	2	1	28	2292
0.722	1	1	73	3	1	28	2292
0.723	1	1	73	4	1	28	2292
0.724	1	1	73	5	1	28	2292
0.725	1	1	73	6	1	28	2292
0.726	1	1	73	7	1	28	2292
0.727	1	1	73	8	1	28	2292
0.728	1	1	73	9	1	28	2292
0.729	1	1	73	10	1	28	2292
0.73	1	1	74	1	1	28	2292
0.731	1	1	74	2	1	28	2292
0.732	1	1	74	3	1	28	2292
0.733	1	1	74	4	1	28	2292
0.734	1	1	74	5	1	28	2292
0.735	1	1	74	6	1	28	2292
0.736	1	1	74	7	1	28	2292
0.737	1	1	74	8	1	28	2292
0.738	1	1	74	9	1	28	2292
0.739	1	1	74	10	1	28	2292
0.74	1	1	75	1	1	28	2292
0.741	1	1	75	2	1	28	2292
0.742	1	1	75	3	1	28	2292
0.743	1	1	75	4	1	28	2292
0.744	1	1	75	5	1	28	2292
0.745	1	1	75	6	1	28	2292
0.746	1	1	75	7	1	28	2292
0.747	1	1	75	8	1	28	2292
0.748	1	1	75	9	1	28	2292
0.749	1	1	75	10	1	28	2292
0.75	1	1	76	1	1	28	2292
0.751	1	1	76	2	1	28	2292
0.752	1	1	76	3	1	28	2292
0.753	1	1	76	4	1	28	2292
0.754	1	1	76	5	1	28	2292
0.755	1	1	76	6	1	28	2292
0.756	1	1	76	7	1	28	2292
0.757	1	1	76	8	1	28	2292
0.758	1	1	76	9	1	28	2292
0.759	1	1	76	10	1	28	2292
